error  * no darle pelota
341K available
Compiling PEGASSUS.PRG
PEGASSUS.PRG(107)  Warning C1004  Ambiguous reference, assuming memvar: 'JTOP'
PEGASSUS.PRG(108)  Warning C1004  Ambiguous reference, assuming memvar: 'JLEFT'
PEGASSUS.PRG(109)  Warning C1004  Ambiguous reference, assuming memvar: 'JBOTT'
PEGASSUS.PRG(110)  Warning C1004  Ambiguous reference, assuming memvar: 'JRIGHT'
PEGASSUS.PRG(111)  Warning C1004  Ambiguous reference, assuming memvar: 'JNIVOP'
PEGASSUS.PRG(112)  Warning C1003  Ambiguous reference: 'IDIREC'
PEGASSUS.PRG(112)  Warning C1004  Ambiguous reference, assuming memvar: 'IDIRECA'
PEGASSUS.PRG(113)  Warning C1003  Ambiguous reference: 'IDIREC'
PEGASSUS.PRG(113)  Warning C1004  Ambiguous reference, assuming memvar: 'IDIRECB'
PEGASSUS.PRG(114)  Warning C1003  Ambiguous reference: 'IDIRECA'
PEGASSUS.PRG(116)  Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(117)  Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(117)  Warning C1004  Ambiguous reference, assuming memvar: 'AFRASES'
PEGASSUS.PRG(119)  Warning C1004  Ambiguous reference, assuming memvar: 'O'
PEGASSUS.PRG(120)  Warning C1004  Ambiguous reference, assuming memvar: 'O'
PEGASSUS.PRG(120)  Warning C1004  Ambiguous reference, assuming memvar: 'O'
PEGASSUS.PRG(120)  Warning C1004  Ambiguous reference, assuming memvar: 'O'
PEGASSUS.PRG(120)  Warning C1003  Ambiguous reference: 'O'
PEGASSUS.PRG(120)  Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(121)  Warning C1003  Ambiguous reference: 'IDIOMA'
PEGASSUS.PRG(122)  Warning C1003  Ambiguous reference: 'FRASE1'
PEGASSUS.PRG(122)  Warning C1004  Ambiguous reference, assuming memvar: 'AFRASES'
PEGASSUS.PRG(122)  Warning C1003  Ambiguous reference: 'O'
PEGASSUS.PRG(124)  Warning C1003  Ambiguous reference: 'FRASE2'
PEGASSUS.PRG(124)  Warning C1004  Ambiguous reference, assuming memvar: 'AFRASES'
PEGASSUS.PRG(124)  Warning C1003  Ambiguous reference: 'O'
PEGASSUS.PRG(131)  Warning C1003  Ambiguous reference: 'JLEFT'
PEGASSUS.PRG(131)  Warning C1004  Ambiguous reference, assuming memvar: 'JT1'
PEGASSUS.PRG(132)  Warning C1004  Ambiguous reference, assuming memvar: 'JTM'
PEGASSUS.PRG(133)  Warning C1003  Ambiguous reference: 'JTM'
PEGASSUS.PRG(133)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(134)  Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(135)  Warning C1004  Ambiguous reference, assuming memvar: 'I'
PEGASSUS.PRG(135)  Warning C1004  Ambiguous reference, assuming memvar: 'I'
PEGASSUS.PRG(135)  Warning C1004  Ambiguous reference, assuming memvar: 'I'
PEGASSUS.PRG(135)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(135)  Warning C1003  Ambiguous reference: 'JTM'
PEGASSUS.PRG(136)  Warning C1003  Ambiguous reference: 'NRO_MODULO'
PEGASSUS.PRG(136)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(136)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(137)  Warning C1003  Ambiguous reference: 'IDIOMA'
PEGASSUS.PRG(138)  Warning C1003  Ambiguous reference: 'NOM_MODULO'
PEGASSUS.PRG(138)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
PEGASSUS.PRG(138)  Warning C1003  Ambiguous reference: 'I'
PEGASSUS.PRG(139)  Warning C1003  Ambiguous reference: 'MENSAJE'
PEGASSUS.PRG(139)  Warning C1004  Ambiguous reference, assuming memvar: 'AESTAD'
